corpus,year,topic,n_docs,avg_probability_weight
speeches,1994,0,1,0.0
speeches,1994,1,1,0.0058
speeches,1994,2,1,0.011
speeches,1994,3,1,0.1757
speeches,1994,4,1,0.0
speeches,1994,5,1,0.2745
speeches,1994,6,1,0.021
speeches,1994,7,1,0.0475
speeches,1994,8,1,0.198
speeches,1994,9,1,0.0053
speeches,1994,10,1,0.2284
speeches,1994,11,1,0.0328
speeches,1995,0,18,0.0
speeches,1995,1,18,0.0243
speeches,1995,2,18,0.0
speeches,1995,3,18,0.1413
speeches,1995,4,18,0.0219
speeches,1995,5,18,0.3576
speeches,1995,6,18,0.0188
speeches,1995,7,18,0.0544
speeches,1995,8,18,0.1027
speeches,1995,9,18,0.0042
speeches,1995,10,18,0.2711
speeches,1995,11,18,0.0037
speeches,1996,0,22,0.004
speeches,1996,1,22,0.0276
speeches,1996,2,22,0.002
speeches,1996,3,22,0.1066
speeches,1996,4,22,0.0013
speeches,1996,5,22,0.2774
speeches,1996,6,22,0.0144
speeches,1996,7,22,0.0783
speeches,1996,8,22,0.1183
speeches,1996,9,22,0.0195
speeches,1996,10,22,0.3368
speeches,1996,11,22,0.0137
speeches,1997,0,22,0.013
speeches,1997,1,22,0.0365
speeches,1997,2,22,0.0015
speeches,1997,3,22,0.306
speeches,1997,4,22,0.0152
speeches,1997,5,22,0.2032
speeches,1997,6,22,0.0131
speeches,1997,7,22,0.1089
speeches,1997,8,22,0.0727
speeches,1997,9,22,0.0366
speeches,1997,10,22,0.1875
speeches,1997,11,22,0.0059
speeches,1998,0,19,0.0245
speeches,1998,1,19,0.0129
speeches,1998,2,19,0.0044
speeches,1998,3,19,0.3016
speeches,1998,4,19,0.0337
speeches,1998,5,19,0.1287
speeches,1998,6,19,0.0085
speeches,1998,7,19,0.2069
speeches,1998,8,19,0.0215
speeches,1998,9,19,0.0782
speeches,1998,10,19,0.1642
speeches,1998,11,19,0.0148
speeches,1999,0,15,0.0614
speeches,1999,1,15,0.1305
speeches,1999,2,15,0.0088
speeches,1999,3,15,0.2097
speeches,1999,4,15,0.0489
speeches,1999,5,15,0.1299
speeches,1999,6,15,0.0644
speeches,1999,7,15,0.091
speeches,1999,8,15,0.0202
speeches,1999,9,15,0.1238
speeches,1999,10,15,0.0623
speeches,1999,11,15,0.0491
speeches,2000,0,6,0.0226
speeches,2000,1,6,0.5397
speeches,2000,2,6,0.0
speeches,2000,3,6,0.1159
speeches,2000,4,6,0.0109
speeches,2000,5,6,0.0977
speeches,2000,6,6,0.0054
speeches,2000,7,6,0.0113
speeches,2000,8,6,0.107
speeches,2000,9,6,0.0316
speeches,2000,10,6,0.029
speeches,2000,11,6,0.0289
speeches,2001,0,7,0.0918
speeches,2001,1,7,0.1336
speeches,2001,2,7,0.0869
speeches,2001,3,7,0.0918
speeches,2001,4,7,0.0592
speeches,2001,5,7,0.0089
speeches,2001,6,7,0.0403
speeches,2001,7,7,0.0101
speeches,2001,8,7,0.2425
speeches,2001,9,7,0.0537
speeches,2001,10,7,0.1621
speeches,2001,11,7,0.019
speeches,2002,0,1,0.0945
speeches,2002,1,1,0.1481
speeches,2002,2,1,0.0
speeches,2002,3,1,0.4177
speeches,2002,4,1,0.0233
speeches,2002,5,1,0.0295
speeches,2002,6,1,0.0
speeches,2002,7,1,0.0
speeches,2002,8,1,0.1899
speeches,2002,9,1,0.0454
speeches,2002,10,1,0.0515
speeches,2002,11,1,0.0
speeches,2003,0,1,0.0609
speeches,2003,1,1,0.0721
speeches,2003,2,1,0.211
speeches,2003,3,1,0.0052
speeches,2003,4,1,0.0
speeches,2003,5,1,0.0678
speeches,2003,6,1,0.0
speeches,2003,7,1,0.0654
speeches,2003,8,1,0.3111
speeches,2003,9,1,0.0373
speeches,2003,10,1,0.1126
speeches,2003,11,1,0.0566
speeches,2004,0,2,0.0299
speeches,2004,1,2,0.0608
speeches,2004,2,2,0.1564
speeches,2004,3,2,0.0649
speeches,2004,4,2,0.0133
speeches,2004,5,2,0.007
speeches,2004,6,2,0.0531
speeches,2004,7,2,0.0213
speeches,2004,8,2,0.3778
speeches,2004,9,2,0.0649
speeches,2004,10,2,0.1224
speeches,2004,11,2,0.0281
speeches,2005,0,4,0.1216
speeches,2005,1,4,0.1723
speeches,2005,2,4,0.1742
speeches,2005,3,4,0.0001
speeches,2005,4,4,0.0404
speeches,2005,5,4,0.0178
speeches,2005,6,4,0.0001
speeches,2005,7,4,0.0377
speeches,2005,8,4,0.1063
speeches,2005,9,4,0.1296
speeches,2005,10,4,0.1637
speeches,2005,11,4,0.0362
speeches,2006,0,16,0.198
speeches,2006,1,16,0.0497
speeches,2006,2,16,0.1284
speeches,2006,3,16,0.0258
speeches,2006,4,16,0.0762
speeches,2006,5,16,0.0017
speeches,2006,6,16,0.0266
speeches,2006,7,16,0.0657
speeches,2006,8,16,0.1387
speeches,2006,9,16,0.2117
speeches,2006,10,16,0.0416
speeches,2006,11,16,0.036
speeches,2007,0,19,0.3163
speeches,2007,1,19,0.0216
speeches,2007,2,19,0.16
speeches,2007,3,19,0.0205
speeches,2007,4,19,0.0805
speeches,2007,5,19,0.0033
speeches,2007,6,19,0.0183
speeches,2007,7,19,0.0489
speeches,2007,8,19,0.1245
speeches,2007,9,19,0.1825
speeches,2007,10,19,0.0048
speeches,2007,11,19,0.0187
speeches,2008,0,15,0.2275
speeches,2008,1,15,0.071
speeches,2008,2,15,0.1236
speeches,2008,3,15,0.0174
speeches,2008,4,15,0.0947
speeches,2008,5,15,0.0077
speeches,2008,6,15,0.0404
speeches,2008,7,15,0.0338
speeches,2008,8,15,0.1109
speeches,2008,9,15,0.0792
speeches,2008,10,15,0.0816
speeches,2008,11,15,0.1122
speeches,2009,0,12,0.1553
speeches,2009,1,12,0.0851
speeches,2009,2,12,0.1179
speeches,2009,3,12,0.0161
speeches,2009,4,12,0.1395
speeches,2009,5,12,0.008
speeches,2009,6,12,0.0249
speeches,2009,7,12,0.017
speeches,2009,8,12,0.1021
speeches,2009,9,12,0.1422
speeches,2009,10,12,0.0265
speeches,2009,11,12,0.1654
speeches,2010,0,18,0.1274
speeches,2010,1,18,0.1164
speeches,2010,2,18,0.1411
speeches,2010,3,18,0.0054
speeches,2010,4,18,0.1573
speeches,2010,5,18,0.0125
speeches,2010,6,18,0.0519
speeches,2010,7,18,0.0202
speeches,2010,8,18,0.0865
speeches,2010,9,18,0.0825
speeches,2010,10,18,0.0407
speeches,2010,11,18,0.1582
speeches,2011,0,20,0.0478
speeches,2011,1,20,0.0532
speeches,2011,2,20,0.2094
speeches,2011,3,20,0.005
speeches,2011,4,20,0.1799
speeches,2011,5,20,0.0068
speeches,2011,6,20,0.0441
speeches,2011,7,20,0.0505
speeches,2011,8,20,0.1864
speeches,2011,9,20,0.1047
speeches,2011,10,20,0.0225
speeches,2011,11,20,0.0895
speeches,2012,0,30,0.0549
speeches,2012,1,30,0.0523
speeches,2012,2,30,0.148
speeches,2012,3,30,0.0027
speeches,2012,4,30,0.2305
speeches,2012,5,30,0.0078
speeches,2012,6,30,0.056
