corpus,year,topic,n_docs,n_docs_total_year,share
speeches,1994,0,0,1,0.0
speeches,1994,1,0,1,0.0
speeches,1994,2,0,1,0.0
speeches,1994,3,0,1,0.0
speeches,1994,4,0,1,0.0
speeches,1994,5,1,1,1.0
speeches,1994,6,0,1,0.0
speeches,1994,7,0,1,0.0
speeches,1994,8,0,1,0.0
speeches,1994,9,0,1,0.0
speeches,1994,10,0,1,0.0
speeches,1994,11,0,1,0.0
speeches,1995,0,0,18,0.0
speeches,1995,1,0,18,0.0
speeches,1995,2,0,18,0.0
speeches,1995,3,3,18,0.1667
speeches,1995,4,0,18,0.0
speeches,1995,5,8,18,0.4444
speeches,1995,6,0,18,0.0
speeches,1995,7,1,18,0.0556
speeches,1995,8,2,18,0.1111
speeches,1995,9,0,18,0.0
speeches,1995,10,4,18,0.2222
speeches,1995,11,0,18,0.0
speeches,1996,0,0,22,0.0
speeches,1996,1,0,22,0.0
speeches,1996,2,0,22,0.0
speeches,1996,3,1,22,0.0455
speeches,1996,4,0,22,0.0
speeches,1996,5,6,22,0.2727
speeches,1996,6,0,22,0.0
speeches,1996,7,2,22,0.0909
speeches,1996,8,3,22,0.1364
speeches,1996,9,0,22,0.0
speeches,1996,10,10,22,0.4545
speeches,1996,11,0,22,0.0
speeches,1997,0,0,22,0.0
speeches,1997,1,0,22,0.0
speeches,1997,2,0,22,0.0
speeches,1997,3,10,22,0.4545
speeches,1997,4,0,22,0.0
speeches,1997,5,7,22,0.3182
speeches,1997,6,0,22,0.0
speeches,1997,7,3,22,0.1364
speeches,1997,8,0,22,0.0
speeches,1997,9,0,22,0.0
speeches,1997,10,2,22,0.0909
speeches,1997,11,0,22,0.0
speeches,1998,0,0,19,0.0
speeches,1998,1,0,19,0.0
speeches,1998,2,0,19,0.0
speeches,1998,3,7,19,0.3684
speeches,1998,4,0,19,0.0
speeches,1998,5,2,19,0.1053
speeches,1998,6,0,19,0.0
speeches,1998,7,4,19,0.2105
speeches,1998,8,0,19,0.0
speeches,1998,9,3,19,0.1579
speeches,1998,10,3,19,0.1579
speeches,1998,11,0,19,0.0
speeches,1999,0,1,15,0.0667
speeches,1999,1,2,15,0.1333
speeches,1999,2,0,15,0.0
speeches,1999,3,4,15,0.2667
speeches,1999,4,0,15,0.0
speeches,1999,5,2,15,0.1333
speeches,1999,6,0,15,0.0
speeches,1999,7,1,15,0.0667
speeches,1999,8,1,15,0.0667
speeches,1999,9,3,15,0.2
speeches,1999,10,0,15,0.0
speeches,1999,11,1,15,0.0667
speeches,2000,0,0,6,0.0
speeches,2000,1,4,6,0.6667
speeches,2000,2,0,6,0.0
speeches,2000,3,1,6,0.1667
speeches,2000,4,0,6,0.0
speeches,2000,5,0,6,0.0
speeches,2000,6,0,6,0.0
speeches,2000,7,0,6,0.0
speeches,2000,8,1,6,0.1667
speeches,2000,9,0,6,0.0
speeches,2000,10,0,6,0.0
speeches,2000,11,0,6,0.0
speeches,2001,0,0,7,0.0
speeches,2001,1,1,7,0.1429
speeches,2001,2,0,7,0.0
speeches,2001,3,1,7,0.1429
speeches,2001,4,0,7,0.0
speeches,2001,5,0,7,0.0
speeches,2001,6,0,7,0.0
speeches,2001,7,0,7,0.0
speeches,2001,8,3,7,0.4286
speeches,2001,9,0,7,0.0
speeches,2001,10,2,7,0.2857
speeches,2001,11,0,7,0.0
speeches,2002,0,0,1,0.0
speeches,2002,1,0,1,0.0
speeches,2002,2,0,1,0.0
speeches,2002,3,1,1,1.0
speeches,2002,4,0,1,0.0
speeches,2002,5,0,1,0.0
speeches,2002,6,0,1,0.0
speeches,2002,7,0,1,0.0
speeches,2002,8,0,1,0.0
speeches,2002,9,0,1,0.0
speeches,2002,10,0,1,0.0
speeches,2002,11,0,1,0.0
speeches,2003,0,0,1,0.0
speeches,2003,1,0,1,0.0
speeches,2003,2,0,1,0.0
speeches,2003,3,0,1,0.0
speeches,2003,4,0,1,0.0
speeches,2003,5,0,1,0.0
speeches,2003,6,0,1,0.0
speeches,2003,7,0,1,0.0
speeches,2003,8,1,1,1.0
speeches,2003,9,0,1,0.0
speeches,2003,10,0,1,0.0
speeches,2003,11,0,1,0.0
speeches,2004,0,0,2,0.0
speeches,2004,1,0,2,0.0
speeches,2004,2,0,2,0.0
