corpus,year,topic,n_docs,n_docs_total_year,share
statements,1999,0,0,4,0.0
statements,1999,1,0,4,0.0
statements,1999,2,0,4,0.0
statements,1999,3,2,4,0.5
statements,1999,4,0,4,0.0
statements,1999,5,2,4,0.5
statements,2000,0,0,11,0.0
statements,2000,1,0,11,0.0
statements,2000,2,0,11,0.0
statements,2000,3,2,11,0.1818
statements,2000,4,0,11,0.0
statements,2000,5,9,11,0.8182
statements,2001,0,0,7,0.0
statements,2001,1,0,7,0.0
statements,2001,2,0,7,0.0
statements,2001,3,0,7,0.0
statements,2001,4,0,7,0.0
statements,2001,5,7,7,1.0
statements,2002,0,0,5,0.0
statements,2002,1,1,5,0.2
statements,2002,2,0,5,0.0
statements,2002,3,0,5,0.0
statements,2002,4,0,5,0.0
statements,2002,5,4,5,0.8
statements,2003,0,0,6,0.0
statements,2003,1,0,6,0.0
statements,2003,2,0,6,0.0
statements,2003,3,0,6,0.0
statements,2003,4,0,6,0.0
statements,2003,5,6,6,1.0
statements,2004,0,0,6,0.0
statements,2004,1,0,6,0.0
statements,2004,2,0,6,0.0
statements,2004,3,0,6,0.0
statements,2004,4,0,6,0.0
statements,2004,5,6,6,1.0
statements,2005,0,0,6,0.0
statements,2005,1,0,6,0.0
statements,2005,2,0,6,0.0
statements,2005,3,0,6,0.0
statements,2005,4,5,6,0.8333
statements,2005,5,1,6,0.1667
statements,2006,0,0,6,0.0
statements,2006,1,0,6,0.0
statements,2006,2,0,6,0.0
statements,2006,3,0,6,0.0
statements,2006,4,6,6,1.0
statements,2006,5,0,6,0.0
statements,2007,0,0,6,0.0
statements,2007,1,0,6,0.0
statements,2007,2,0,6,0.0
statements,2007,3,0,6,0.0
statements,2007,4,6,6,1.0
statements,2007,5,0,6,0.0
statements,2008,0,0,6,0.0
statements,2008,1,0,6,0.0
statements,2008,2,0,6,0.0
statements,2008,3,0,6,0.0
statements,2008,4,6,6,1.0
statements,2008,5,0,6,0.0
statements,2009,0,1,9,0.1111
statements,2009,1,0,9,0.0
statements,2009,2,0,9,0.0
statements,2009,3,0,9,0.0
statements,2009,4,8,9,0.8889
statements,2009,5,0,9,0.0
statements,2010,0,4,6,0.6667
statements,2010,1,0,6,0.0
statements,2010,2,0,6,0.0
statements,2010,3,0,6,0.0
statements,2010,4,2,6,0.3333
statements,2010,5,0,6,0.0
statements,2011,0,6,6,1.0
statements,2011,1,0,6,0.0
statements,2011,2,0,6,0.0
statements,2011,3,0,6,0.0
statements,2011,4,0,6,0.0
statements,2011,5,0,6,0.0
statements,2012,0,6,6,1.0
statements,2012,1,0,6,0.0
statements,2012,2,0,6,0.0
statements,2012,3,0,6,0.0
statements,2012,4,0,6,0.0
statements,2012,5,0,6,0.0
statements,2013,0,6,6,1.0
statements,2013,1,0,6,0.0
statements,2013,2,0,6,0.0
statements,2013,3,0,6,0.0
statements,2013,4,0,6,0.0
statements,2013,5,0,6,0.0
statements,2014,0,6,6,1.0
statements,2014,1,0,6,0.0
statements,2014,2,0,6,0.0
statements,2014,3,0,6,0.0
statements,2014,4,0,6,0.0
statements,2014,5,0,6,0.0
statements,2015,0,6,6,1.0
statements,2015,1,0,6,0.0
statements,2015,2,0,6,0.0
statements,2015,3,0,6,0.0
statements,2015,4,0,6,0.0
statements,2015,5,0,6,0.0
statements,2016,0,6,6,1.0
statements,2016,1,0,6,0.0
statements,2016,2,0,6,0.0
statements,2016,3,0,6,0.0
statements,2016,4,0,6,0.0
statements,2016,5,0,6,0.0
statements,2017,0,6,6,1.0
statements,2017,1,0,6,0.0
statements,2017,2,0,6,0.0
statements,2017,3,0,6,0.0
statements,2017,4,0,6,0.0
statements,2017,5,0,6,0.0
statements,2018,0,1,6,0.1667
statements,2018,1,0,6,0.0
statements,2018,2,5,6,0.8333
statements,2018,3,0,6,0.0
statements,2018,4,0,6,0.0
statements,2018,5,0,6,0.0
statements,2019,0,0,6,0.0
statements,2019,1,0,6,0.0
statements,2019,2,6,6,1.0
statements,2019,3,0,6,0.0
statements,2019,4,0,6,0.0
statements,2019,5,0,6,0.0
statements,2020,0,0,7,0.0
statements,2020,1,0,7,0.0
statements,2020,2,7,7,1.0
statements,2020,3,0,7,0.0
statements,2020,4,0,7,0.0
statements,2020,5,0,7,0.0
statements,2021,0,0,6,0.0
statements,2021,1,0,6,0.0
statements,2021,2,6,6,1.0
statements,2021,3,0,6,0.0
statements,2021,4,0,6,0.0
statements,2021,5,0,6,0.0
statements,2022,0,0,6,0.0
statements,2022,1,0,6,0.0
statements,2022,2,6,6,1.0
statements,2022,3,0,6,0.0
statements,2022,4,0,6,0.0
statements,2022,5,0,6,0.0
statements,2023,0,0,6,0.0
statements,2023,1,0,6,0.0
statements,2023,2,6,6,1.0
statements,2023,3,0,6,0.0
statements,2023,4,0,6,0.0
statements,2023,5,0,6,0.0
statements,2024,0,0,6,0.0
statements,2024,1,0,6,0.0
statements,2024,2,3,6,0.5
statements,2024,3,3,6,0.5
statements,2024,4,0,6,0.0
statements,2024,5,0,6,0.0
statements,2025,0,0,6,0.0
statements,2025,1,0,6,0.0
statements,2025,2,0,6,0.0
statements,2025,3,6,6,1.0
statements,2025,4,0,6,0.0
statements,2025,5,0,6,0.0
statements,2026,0,0,4,0.0
statements,2026,1,0,4,0.0
statements,2026,2,0,4,0.0
statements,2026,3,4,4,1.0
statements,2026,4,0,4,0.0
statements,2026,5,0,4,0.0
