corpus,topic,top_words
speeches,0,"market, markets, financial, bond, financial markets, risk, rate, reserves, liquidity, banks, bonds, emerging, global, central, rates"
speeches,1,"central, banks, inflation, stability, financial, central banks, targeting, inflation targeting, financial stability, price, framework, economic, independence, act, price stability"
speeches,2,"inflation, growth, rate, prices, global, price, economy, outlook, target, expectations, forecast, domestic, recent, expected, oil"
speeches,3,"financial, markets, world, economic, international, countries, country, financial markets, capital, exchange, foreign, economy, funds, new, global"
speeches,4,"growth, global, countries, crisis, economies, emerging, economic, world, debt, capital, economy, fiscal, markets, imf, flows"
speeches,5,"money, rate, inflation, supply, rates, money supply, financial, credit, level, economy, increase, total, banking, growth, market"
speeches,6,"inflation, rates, rate, higher, growth, target, lower, low, central, high, term, economy, price, long, targeting"
speeches,7,"central, banks, development, region, sadc, payment, financial, settlement, countries, banking, operation, central banks, economic, southern, governors"
speeches,8,"growth, economic, quarter, sector, economy, domestic, increase, government, rate, real, expenditure, gross, prices, increased, employment"
speeches,9,"people, new, speeches, time, central, world, payments, public, money, work, make, future, payment, value, important"
speeches,10,"exchange, foreign, rate, exchange rate, rand, billion, foreign exchange, capital, market, net, reserves, balance, domestic, end, payments"
speeches,11,"financial, regulatory, stability, banks, risk, financial stability, sector, global, risks, international, institutions, market, banking, regulation, new"
