meeting_date,title,policy_rate_pct,rate_action,policy_rate_final,rate_action_final,rate_source_final,in_scope_inflation_targeting,lexicon_score,lexicon_hawkish_weighted_count,lexicon_dovish_weighted_count,lexicon_word_count,lexicon_hawkish_hits,lexicon_dovish_hits
1999-10-13,1999-10-13: Statement released by the SA Reserve Bank after the deliberations at the First meeting of the Bank's Monetary Policy Committee,,cut,,,out_of_scope_pre_inflation_targeting,False,0.0,0.0,0.0,3651,{},{}
1999-10-13,"1999-10-13: Opening statement by Mr Tito Mboweni, Governor of the South African Reserve Bank, at the inaugural meeting of the Monetary Policy Committee (MPC)",,,,,out_of_scope_pre_inflation_targeting,False,0.0,0.0,0.0,2316,{},{}
1999-11-24,"1999-11-24: Statement of the Monetary Policy Committee : detailed assessment of international economic conditions, domestic economic developments and the monetary policy stance",,,,,out_of_scope_pre_inflation_targeting,False,0.841,2.0,0.0,3924,"{""inflationary pressures"": 2}",{}
1999-11-24,"1999-11-24: Opening statement by Mr Tito Mboweni, Governor of the South African Reserve Bank, at the second meeting of the Monetary Policy Committee (MPC), Pretoria",,,,,out_of_scope_pre_inflation_targeting,False,0.0,0.0,0.0,1597,{},{}
2000-01-13,2000-01-13: Statement of the Monetary Policy Committee : detailed assessment of changes in general economic conditions,,,,,out_of_scope_pre_inflation_targeting,False,2.174,6.0,0.0,4294,"{""tighten monetary policy"": 2, ""inflationary pressures"": 2}",{}
2000-02-22,2000-02-22: Postponement of the Monetary Policy Committee Meeting,,,,,no_data,True,0.0,0.0,0.0,282,{},{}
2000-03-02,2000-03-02: Statement of the Monetary Policy Committee : main conclusions,,,,,no_data,True,3.287,10.0,0.0,4228,"{""second-round effects"": 2, ""inflationary pressures"": 8}",{}
2000-03-20,2000-03-20: Statement issued by the South African Reserve Bank after the first Monetary Policy Forum,,,,,no_data,True,0.0,0.0,0.0,1187,{},{}
2000-04-06,2000-04-06: Statement of the Monetary Policy Committee : discussed in some detail recent international and domestic economic developments and the current monetary policy stance,,hold,,hold,regex_fallback_no_series_coverage,True,2.396,12.0,2.0,6386,"{""inflationary pressures"": 12}","{""unchanged"": 2}"
2000-05-19,2000-05-19: Statement of the Monetary Policy Committee : made a detailed assessment of recent economic and financial market developments,,,,,no_data,True,0.0,4.0,4.0,4251,"{""upside risk"": 2, ""inflationary pressures"": 2}","{""unchanged"": 4}"
2000-06-15,2000-06-15: Statement of the Monetary Policy Committee : analysed recent international and domestic economic developments and reviewed the monetary policy stance,,,,,no_data,True,0.786,2.0,0.0,4203,"{""inflationary pressures"": 2}",{}
2000-08-11,2000-08-11: Statement of the Monetary Policy Committee : reviewed economic conditions and the monetary policy stance,,,,,no_data,True,1.648,8.0,4.0,3894,"{""inflationary pressures"": 8}","{""unchanged"": 4}"
2000-09-21,2000-09-21: Statement of the Monetary Policy Committee : reviewed international and domestic economic conditions and the monetary policy stance,,,,,no_data,True,1.574,4.0,0.0,4091,"{""second-round effects"": 2, ""inflationary pressure"": 2}",{}
2000-10-16,2000-10-16: Statement of the Monetary Policy Committee : to review the effect of recent developments on the outlook for inflation in South Africa,,hike,,hike,regex_fallback_no_series_coverage,True,0.0,0.0,0.0,629,{},{}
2000-11-16,2000-11-16: Statement of the Monetary Policy Committee : reviewed current and likely future economic developments to arrive at a decision regarding the monetary policy stance,,,,,no_data,True,0.0,4.0,4.0,4107,"{""second-round effects"": 4}","{""unchanged"": 4}"
2001-01-19,2001-01-19: Statement of the Monetary Policy Committee : reviewed current and likely future economic developments in order to evaluate the monetary policy stance.,,,,,no_data,True,-0.718,4.0,6.0,4611,"{""robust growth"": 2, ""inflationary pressures"": 2}","{""unchanged"": 4, ""below target"": 2}"
2001-03-16,2001-03-16: Statement of the Monetary Policy Committee : reviewed current and likely future economic developments to evaluate the monetary policy stance,,,,,no_data,True,-1.531,2.0,6.0,4215,"{""inflationary pressures"": 2}","{""unchanged"": 6}"
2001-04-25,2001-04-25: Statement of the Monetary Policy Committee evaluated the monetary policy stance,,,,,no_data,True,-0.844,2.0,4.0,3910,"{""inflationary pressures"": 2}","{""lower interest rates"": 2}"
2001-06-14,2001-06-14: Statement of the Monetary Policy Committee : analysed international and domestic economic developments in order to evaluate the monetary policy stance,,,,,no_data,True,0.703,4.0,2.0,4708,"{""above the target range"": 2, ""second-round effects"": 2}","{""economic slowdown"": 2}"
2001-07-26,2001-07-26: Statement of the Monetary Policy Committee : made a detailed analysis of recent economic developments to decide on the most appropriate monetary policy stance,,cut,,cut,regex_fallback_no_series_coverage,True,0.0,2.0,2.0,4343,"{""inflationary pressures"": 2}","{""unchanged"": 2}"
2001-09-20,2001-09-20: Statement of the Monetary Policy Committee : evaluated the monetary policy stance,9.5,cut,9.5,cut,regex_fallback_no_series_coverage,True,-0.738,0.0,2.0,4481,{},"{""economic slowdown"": 2}"
2001-11-15,2001-11-15: Statement of the Monetary Policy Committee : assessed recent international and domestic economic developments to decide on the appropriate monetary policy stance.,,,,,no_data,True,-1.906,2.0,8.0,4981,"{""inflationary pressures"": 2}","{""unchanged"": 2, ""subdued inflation"": 2, ""economic slowdown"": 2}"
2002-01-15,2002-01-15: Statement of the Monetary Policy Committee: to discuss the appropriate monetary policy stance in view of the effects of recent economic developments on the outlook for inflation,,,10.5,hike,official_series,True,0.0,0.0,0.0,434,{},{}
2002-03-14,2002-03-14: Statement of the Monetary Policy Committee,,,11.5,hike,official_series,True,1.419,2.0,0.0,2285,"{""inflationary pressures"": 2}",{}
2002-06-13,2002-06-13: Statement of the Monetary Policy Committee,,hike,12.5,hike,official_series,True,2.12,6.0,2.0,2947,"{""increase the repurchase rate"": 2, ""inflationary pressures"": 2}","{""unchanged"": 2}"
2002-09-12,2002-09-12: Statement of the Monetary Policy Committee,,hike,13.5,hike,official_series,True,4.382,12.0,0.0,2941,"{""increase the repurchase rate"": 2, ""inflationary pressures"": 8}",{}
2002-11-28,2002-11-28: Statement of the Monetary Policy Committee,9.5,hold,13.5,hold,official_series,True,0.0,2.0,2.0,2345,"{""inflationary pressures"": 2}","{""unchanged"": 2}"
2003-03-20,2003-03-20: Statement of the Monetary Policy Committee,13.5,hold,13.5,hold,official_series,True,0.583,4.0,2.0,5689,"{""increase the repurchase rate"": 2}","{""unchanged"": 2}"
2003-06-12,2003-06-12: Statement of the Monetary Policy Committee,,,12.0,cut,official_series,True,-0.904,2.0,4.0,3645,"{""vigilant"": 2}","{""disinflation"": 4}"
2003-08-14,2003-08-14: Statement of the Monetary Policy Committee,,,11.0,cut,official_series,True,1.009,2.0,0.0,3259,"{""vigilant"": 2}",{}
2003-09-10,2003-09-10: Statement of the Monetary Policy Committee,,,10.0,cut,official_series,True,-1.514,0.0,2.0,2133,{},"{""unchanged"": 2}"
2003-10-16,2003-10-16: Statement of the Monetary Policy Committee,,,8.5,cut,official_series,True,0.937,2.0,0.0,3517,"{""inflationary pressures"": 2}",{}
2003-12-11,2003-12-11: Statement of the Monetary Policy Committee,,,8.0,cut,official_series,True,-2.434,0.0,6.0,3761,{},"{""lower interest rates"": 2, ""spare capacity"": 2}"
2004-02-26,2004-02-26: Statement of the Monetary Policy Committee,,,8.0,hold,official_series,True,-2.403,0.0,6.0,3819,{},"{""lower interest rates"": 2, ""unchanged"": 2}"
2004-04-22,2004-04-22: Statement of the Monetary Policy Committee,,,8.0,hold,official_series,True,0.923,6.0,4.0,3569,"{""second-round effects"": 2, ""inflationary pressure"": 2, ""inflationary pressures"": 2}","{""unchanged"": 2, ""spare capacity"": 2}"
2004-06-10,2004-06-10: Statement of the Monetary Policy Committee,,,8.0,hold,official_series,True,0.0,2.0,2.0,3205,"{""inflationary pressures"": 2}","{""unchanged"": 2}"
2004-08-12,2004-08-12: Statement of the Monetary Policy Committee,,,7.5,cut,official_series,True,-1.509,2.0,6.0,4279,"{""robust growth"": 2}","{""unchanged"": 2, ""inflation expectations have declined"": 2}"
