meeting_date,rate_action_final,bps_change,statement_index,avg_speech_index,n_speeches_in_window
2000-02-22,,,0.0,,0
2000-03-02,,,0.9302,,0
2000-03-20,,,1.1304,0.95,1
2000-04-06,hold,,0.7974,0.95,1
2000-05-19,,,1.0515,0.9714,1
2000-06-15,,,0.5688,,0
2000-08-11,,,0.9053,1.0526,1
2000-09-21,,,0.7213,,0
2000-10-16,hike,,1.2727,0.9213,1
2000-11-16,,,0.8679,1.2,1
2001-01-19,,,0.7107,,0
2001-03-16,,,0.6154,0.6506,1
2001-04-25,,,0.4865,0.5743,1
2001-06-14,,,0.6207,,0
2001-07-26,cut,,0.19,0.5714,1
2001-09-20,cut,,0.6667,0.763,2
2001-11-15,,,0.2256,1.037,1
2002-01-15,hike,,2.0,0.8169,1
2002-03-14,hike,100.0,1.4286,1.1648,1
2002-06-13,hike,100.0,1.3684,,0
2002-09-12,hike,100.0,1.4286,,0
2002-11-28,hold,0.0,1.0,,0
2003-03-20,hold,0.0,0.8919,,0
2003-06-12,cut,-150.0,-0.1176,,0
2003-08-14,cut,-100.0,0.4471,,0
2003-09-10,cut,-100.0,0.7333,0.7305,1
2003-10-16,cut,-150.0,0.5854,,0
2003-12-11,cut,-50.0,0.75,,0
2004-02-26,hold,0.0,0.76,,0
2004-04-22,hold,0.0,0.8261,,0
2004-06-10,hold,0.0,1.0108,,0
2004-08-12,cut,-50.0,0.784,1.097,2
2004-10-14,hold,0.0,0.7727,,0
2004-12-09,hold,0.0,1.04,,0
2005-02-10,hold,0.0,1.156,,0
2005-04-14,cut,-50.0,0.5517,,0
2005-06-09,hold,0.0,0.9677,,0
2005-08-11,hold,0.0,0.9231,1.0191,2
2005-10-13,hold,0.0,1.125,,0
2005-12-08,hold,0.0,0.75,1.1134,2
2006-02-02,hold,0.0,1.0,,0
2006-04-13,hold,0.0,0.76,,0
2006-06-08,hold,50.0,0.6275,,0
2006-08-03,hold,50.0,1.0435,,0
2006-10-12,hike,50.0,0.8148,0.9207,6
2006-12-07,hike,50.0,0.9425,1.0236,10
2007-02-15,hold,0.0,0.9787,0.8311,7
2007-04-12,hold,0.0,0.819,1.4361,1
2007-06-07,hike,50.0,1.4016,0.8487,2
2007-08-16,hike,50.0,0.6916,1.0448,4
2007-10-11,hike,50.0,0.6667,0.7722,4
2007-12-06,hike,50.0,0.56,0.8889,1
2008-01-31,hold,0.0,0.0526,0.3729,1
2008-04-10,hike,50.0,0.4615,0.3866,1
2008-06-12,hike,50.0,0.4762,0.699,7
2008-08-14,hold,0.0,0.297,0.9548,3
2008-10-09,hold,0.0,0.2268,0.7532,2
2008-12-11,cut,-50.0,-0.4286,0.6087,1
2009-02-05,cut,-100.0,-0.2424,,0
2009-03-24,cut,-100.0,-0.2222,0.5798,2
2009-04-30,cut,-100.0,-0.0241,0.6027,1
