publish_date,title,speaker_guess,text_source,lexicon_score,lexicon_hawkish_weighted_count,lexicon_dovish_weighted_count,lexicon_word_count,lexicon_hawkish_hits,lexicon_dovish_hits
1994-08-23,Governor's Address (74th) - 1994-08-23,,html,-0.237,2.0,4.0,14072,"{""inflationary pressures"": 2}","{""stimulate the economy"": 2}"
1995-02-14,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at the 18th Annual Investment Conference of Frankel Pollak Vinderine Inc, Johannesburg.",Chris Stals,html,-0.442,2.0,4.0,7520,"{""inflationary pressures"": 2}","{""accommodative monetary policy"": 2}"
1995-02-20,"STATEMENT BY DR C.L. STALS, GOVERNOR OF THE SOUTH AFRICAN RESERVE BANK",,html,0.425,4.0,2.0,7827,"{""inflationary pressures"": 4}","{""unchanged"": 2}"
1995-03-10,"STATEMENT ISSUED BY MR C.F. LIEBENBERG, MINISTER OF FINANCE, ON THE ABOLITION OF THE FINANCIAL RAND SYSTEM.",,html,0.0,0.0,0.0,2264,{},{}
1995-03-23,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at a Meeting of the Enterprise Investment Forum, Cape Town",Chris Stals,html,3.736,14.0,0.0,4828,"{""raise interest rates"": 2, ""inflationary pressures"": 10}",{}
1995-03-24,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at a Conference of The South African Issuers and Investors Forum, Johannesburg",Chris Stals,html,0.0,0.0,0.0,5344,{},{}
1995-05-23,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at a meeting of The Institute of Directors in Southern Africa, Cape Town",Chris Stals,html,0.0,0.0,0.0,5045,{},{}
1995-06-29,"Statement on monetary policy issued by Dr C.L. Stals, Governor of the South African Reserve Bank.",C.L. Stals,html,2.476,2.0,0.0,1228,"{""inflationary pressures"": 2}",{}
1995-07-07,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at the Annual Award Dinner of the Botswana Institute of Bankers Gaborone",Chris Stals,html,0.0,0.0,0.0,7644,{},{}
1995-08-23,Governor's Address (75th) - 1995-08-23,,html,1.243,10.0,0.0,13122,"{""tighten monetary policy"": 2, ""inflationary pressures"": 6}",{}
1995-08-28,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at a luncheon of the Northern Transvaal Chamber of Industries",Chris Stals,html,0.907,2.0,0.0,3636,"{""inflationary pressures"": 2}",{}
1995-09-11,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at the ""South African Investment Summit"" Conference of the International Herald Tribune, Johannesburg.",Chris Stals,html,0.656,2.0,0.0,5055,"{""inflationary pressures"": 2}",{}
1995-09-13,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at a meeting of the East London Branch of The South African Institute of International Affairs, East London",Chris Stals,html,1.312,4.0,0.0,4962,"{""inflationary pressures"": 4}",{}
1995-09-14,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at the Annual Business Achievement Award Banquet of Business Day, Johannesburg",Chris Stals,html,0.0,0.0,0.0,4193,{},{}
1995-10-06,"Address by Dr Chris Stals, Governor of the South African Reserve Bank at a South African Investment Conference arranged by Donaldson, Lufkin & Jenrette in conjunction with Frankel Pollak/Auerbach Grayson, New York.",Chris Stals,html,0.0,2.0,2.0,6442,"{""inflationary pressures"": 2}","{""slack in the economy"": 2}"
1995-10-12,"Address by Dr Chris Stals, Governor of the South African Reserve Bank at a luncheon of the United States-South Africa Business Council, New York",Chris Stals,html,0.767,2.0,0.0,4310,"{""inflationary pressures"": 2}",{}
1995-10-17,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at the second South Africa ""Economy, Investment and Trade Conference"" arranged by Cityforum Limited, London",Chris Stals,html,1.688,6.0,0.0,5693,"{""restrictive stance"": 2, ""above the target range"": 2}",{}
1995-11-01," Address by Dr Chris Stals, Governor of the South African Reserve Bank, at a meeting of The Weekend Argus/Seeff Trust Investors Club, Cape Town",Chris Stals,html,-2.41,0.0,8.0,5074,{},"{""lower interest rates"": 4}"
1995-11-13,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at a Conference of the Bureau for Economic Research of the University of Stellenbosch, Bellville",Chris Stals,html,1.122,4.0,0.0,5843,"{""inflationary pressures"": 4}",{}
1996-02-13,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at the annual presentation to the media arranged by the South African Communication Service, Cape Town.",Chris Stals,html,0.648,2.0,0.0,5114,"{""inflationary pressures"": 2}",{}
1996-02-20,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at the 19th Annual Investment Conference arranged by Frankel Pollak (Pty) Limited, Johannesburg",Chris Stals,html,0.465,2.0,0.0,7155,"{""inflationary pressures"": 2}",{}
1996-03-07,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at a breakfast to celebrate the First Anniversary of &quot;Business Report&quot; Durban.",Chris Stals,html,0.677,2.0,0.0,4894,"{""inflationary pressures"": 2}",{}
1996-04-01,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at a Conference on ""Expenditure Budget Reform: Essential Element for Improvement of Financial Management"" hosted by the Department of State Expenditure Pretoria",Chris Stals,html,0.587,2.0,0.0,5652,"{""inflationary pressures"": 2}",{}
1996-04-23,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at the Annual General Meeting of the French Chamber of Commerce and Industries, Johannesburg",Chris Stals,html,0.0,0.0,0.0,4640,{},{}
1996-04-23,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at a Business Conference on South African/Italian Economic Relations, Johannesburg",Chris Stals,html,0.0,0.0,0.0,2386,{},{}
1996-04-24,"Statement issued by Dr C.L. Stals, Governor of the South African Reserve Bank",C.L. Stals,html,2.496,8.0,0.0,4863,"{""inflationary pressures"": 8}",{}
1996-04-25,"Notes for address by Dr Chris Stals, Governor of the South African Reserve Bank, at a Breakfast Meeting of the American Chamber of Commerce of South Africa, Johannesburg",Chris Stals,html,0.0,0.0,0.0,2992,{},{}
1996-05-02,"Address by Dr Chris Stals, Governor of the South African Reserve Bank, at the Annual General Meeting of the South Africa / Canada Chamber of Business, Johannesburg",Chris Stals,html,1.304,4.0,0.0,4995,"{""second-round effects"": 2, ""inflationary pressures"": 2}",{}
