year,Exchange Rate Policy,Financial Stability,Growth & Labor Market,Inflation (targeting + expectations),Geopolitical & External Risk
1994,0.5601,0.052,0.1323,0.0355,0.0
1995,0.5557,0.0059,0.0633,0.0556,0.0298
1996,0.5595,0.0143,0.0681,0.0488,0.0068
1997,0.3219,0.0065,0.0361,0.0467,0.014
1998,0.2063,0.0206,0.0058,0.0153,0.0496
1999,0.0583,0.0822,0.0038,0.182,0.0617
2000,0.0608,0.1062,0.1139,0.1127,0.0108
2001,0.1855,0.0351,0.1185,0.0395,0.0326
2002,0.0966,0.0247,0.1721,0.0223,0.0
2003,0.3256,0.0872,0.0716,0.019,0.0001
2004,0.2552,0.0202,0.182,0.0621,0.0258
2005,0.1581,0.1067,0.028,0.0884,0.0001
2006,0.0646,0.072,0.1368,0.0449,0.0215
2007,0.0102,0.0387,0.1556,0.0634,0.0656
2008,0.0869,0.1077,0.0565,0.0748,0.1242
2009,0.0393,0.1857,0.0537,0.0706,0.1315
2010,0.0492,0.2083,0.0617,0.1013,0.1345
2011,0.0494,0.1374,0.1053,0.0732,0.1158
2012,0.0345,0.1603,0.1273,0.0595,0.1573
2013,0.0298,0.1261,0.125,0.0407,0.1764
2014,0.0128,0.2662,0.0848,0.0773,0.0812
2015,0.0142,0.1662,0.0811,0.0938,0.1136
2016,0.0118,0.205,0.0749,0.1379,0.0676
2017,0.0088,0.2926,0.0426,0.1183,0.1272
2018,0.0075,0.2795,0.0738,0.0823,0.1106
2019,0.0048,0.2028,0.0737,0.1766,0.1567
2020,0.0056,0.1733,0.0611,0.2462,0.2317
2021,0.0099,0.1139,0.0368,0.3139,0.0894
2022,0.0026,0.1835,0.1032,0.2545,0.098
2023,0.0173,0.1039,0.0557,0.2096,0.1859
2024,0.0062,0.301,0.0486,0.1456,0.0912
2025,0.0215,0.3704,0.016,0.0916,0.1011
2026,0.0069,0.1999,0.0186,0.3357,0.1246
