year,Exchange Rate Policy,Financial Stability,Financial and Payment System,"Growth, Development & Labour Market","Global Crisis, Debt & Fiscal Risk",Inflation: Targeting & Outlook
1994,0.2284,0.0328,0.0475,0.198,0.0,0.0378
1995,0.2711,0.0037,0.0544,0.1027,0.0219,0.0431
1996,0.3368,0.0137,0.0783,0.1183,0.0013,0.044
1997,0.1875,0.0059,0.1089,0.0727,0.0152,0.0511
1998,0.1642,0.0148,0.2069,0.0215,0.0337,0.0258
1999,0.0623,0.0491,0.091,0.0202,0.0489,0.2037
2000,0.029,0.0289,0.0113,0.107,0.0109,0.5450999999999999
2001,0.1621,0.019,0.0101,0.2425,0.0592,0.26080000000000003
2002,0.0515,0.0,0.0,0.1899,0.0233,0.1481
2003,0.1126,0.0566,0.0654,0.3111,0.0,0.2831
2004,0.1224,0.0281,0.0213,0.3778,0.0133,0.2703
2005,0.1637,0.0362,0.0377,0.1063,0.0404,0.3466
2006,0.0416,0.036,0.0657,0.1387,0.0762,0.2047
2007,0.0048,0.0187,0.0489,0.1245,0.0805,0.1999
2008,0.0816,0.1122,0.0338,0.1109,0.0947,0.235
2009,0.0265,0.1654,0.017,0.1021,0.1395,0.2279
2010,0.0407,0.1582,0.0202,0.0865,0.1573,0.3094
2011,0.0225,0.0895,0.0505,0.1864,0.1799,0.3067
2012,0.0283,0.1429,0.0274,0.1105,0.2305,0.2563
2013,0.0449,0.1178,0.0147,0.0702,0.2712,0.2317
2014,0.0152,0.2383,0.0124,0.0541,0.132,0.3548
2015,0.0316,0.1514,0.0377,0.0471,0.1792,0.3855
2016,0.0186,0.188,0.0192,0.0477,0.1152,0.48339999999999994
2017,0.0221,0.2511,0.0202,0.021,0.1292,0.3478
2018,0.019,0.2347,0.0183,0.0283,0.1308,0.2715
2019,0.0109,0.1872,0.0052,0.0287,0.1417,0.4331
2020,0.0013,0.1374,0.0041,0.0262,0.1657,0.42629999999999996
2021,0.0119,0.0928,0.0144,0.0441,0.036,0.5692
2022,0.0106,0.1526,0.0158,0.046,0.0773,0.46020000000000005
2023,0.02,0.0963,0.0064,0.0237,0.1227,0.48
2024,0.0144,0.2253,0.0287,0.0183,0.0381,0.2646
2025,0.0284,0.3453,0.0319,0.0006,0.054,0.1807
2026,0.0045,0.154,0.0169,0.0041,0.0626,0.45120000000000005
