year,Exchange Rate Policy,Financial Stability,Financial and Payment System,"Growth, Development & Labour Market","Global Crisis, Debt & Fiscal Risk",Inflation Targeting & Central Bank Mandate,Inflation Outlook & Expectations
1994,0.2284,0.0328,0.0475,0.198,0.0,0.0058,0.032
1995,0.2711,0.0037,0.0544,0.1027,0.0219,0.0243,0.0188
1996,0.3368,0.0137,0.0783,0.1183,0.0013,0.0276,0.016399999999999998
1997,0.1875,0.0059,0.1089,0.0727,0.0152,0.0365,0.0146
1998,0.1642,0.0148,0.2069,0.0215,0.0337,0.0129,0.012900000000000002
1999,0.0623,0.0491,0.091,0.0202,0.0489,0.1305,0.0732
2000,0.029,0.0289,0.0113,0.107,0.0109,0.5397,0.0054
2001,0.1621,0.019,0.0101,0.2425,0.0592,0.1336,0.1272
2002,0.0515,0.0,0.0,0.1899,0.0233,0.1481,0.0
2003,0.1126,0.0566,0.0654,0.3111,0.0,0.0721,0.211
2004,0.1224,0.0281,0.0213,0.3778,0.0133,0.0608,0.20950000000000002
2005,0.1637,0.0362,0.0377,0.1063,0.0404,0.1723,0.17429999999999998
2006,0.0416,0.036,0.0657,0.1387,0.0762,0.0497,0.15499999999999997
2007,0.0048,0.0187,0.0489,0.1245,0.0805,0.0216,0.17830000000000001
2008,0.0816,0.1122,0.0338,0.1109,0.0947,0.071,0.164
2009,0.0265,0.1654,0.017,0.1021,0.1395,0.0851,0.1428
2010,0.0407,0.1582,0.0202,0.0865,0.1573,0.1164,0.193
2011,0.0225,0.0895,0.0505,0.1864,0.1799,0.0532,0.2535
2012,0.0283,0.1429,0.0274,0.1105,0.2305,0.0523,0.204
2013,0.0449,0.1178,0.0147,0.0702,0.2712,0.039,0.19269999999999998
2014,0.0152,0.2383,0.0124,0.0541,0.132,0.0799,0.2749
2015,0.0316,0.1514,0.0377,0.0471,0.1792,0.0277,0.3578
2016,0.0186,0.188,0.0192,0.0477,0.1152,0.0401,0.44329999999999997
2017,0.0221,0.2511,0.0202,0.021,0.1292,0.0811,0.2667
2018,0.019,0.2347,0.0183,0.0283,0.1308,0.0374,0.2341
2019,0.0109,0.1872,0.0052,0.0287,0.1417,0.0892,0.3439
2020,0.0013,0.1374,0.0041,0.0262,0.1657,0.0132,0.41309999999999997
2021,0.0119,0.0928,0.0144,0.0441,0.036,0.1068,0.46240000000000003
2022,0.0106,0.1526,0.0158,0.046,0.0773,0.0189,0.4413
2023,0.02,0.0963,0.0064,0.0237,0.1227,0.034,0.446
2024,0.0144,0.2253,0.0287,0.0183,0.0381,0.038,0.2266
2025,0.0284,0.3453,0.0319,0.0006,0.054,0.023,0.1577
2026,0.0045,0.154,0.0169,0.0041,0.0626,0.0316,0.41960000000000003
