year,Exchange Rate Policy,Financial Stability,Financial and Payment System,"Growth, Development & Labour Market","Global Crisis, Debt & Fiscal Risk",Inflation Targeting Framework & Mandate,Inflation Outlook & Expectations,Central Bank Independence & Mandate
1994,0.1617,0.0186,0.0376,0.0971,0.1197,0.0002,0.0204,0.0376
1995,0.2082,0.0038,0.0386,0.0434,0.0637,0.0417,0.001,0.0557
1996,0.2497,0.0147,0.0597,0.0429,0.0288,0.0469,0.0024,0.0631
1997,0.1367,0.0053,0.0838,0.0269,0.0584,0.0463,0.0009,0.0595
1998,0.0965,0.0141,0.1815,0.0075,0.1941,0.0134,0.0017,0.0779
1999,0.0313,0.0491,0.0771,0.0055,0.1611,0.2072,0.0027,0.0861
2000,0.0018,0.0271,0.0015,0.1001,0.021300000000000003,0.2651,0.0,0.2951
2001,0.1262,0.0391,0.0056,0.0804,0.0546,0.0686,0.0285,0.0617
2002,0.0,0.0,0.0,0.1199,0.008,0.0808,0.0,0.0
2003,0.0421,0.075,0.0401,0.0334,0.0,0.0,0.1069,0.0283
2004,0.0823,0.0319,0.0123,0.1356,0.0265,0.0657,0.0787,0.0
2005,0.1468,0.0635,0.0291,0.0328,0.0002,0.0873,0.0821,0.0788
2006,0.0321,0.047,0.054,0.1181,0.020499999999999997,0.0444,0.0411,0.0152
2007,0.009,0.0351,0.0442,0.1647,0.0329,0.0096,0.0789,0.0194
2008,0.0814,0.1277,0.0265,0.0448,0.0934,0.028,0.1094,0.052
2009,0.0132,0.1531,0.014,0.0559,0.09179999999999999,0.0468,0.0421,0.0651
2010,0.0337,0.167,0.0234,0.0508,0.09330000000000001,0.1008,0.0451,0.0327
2011,0.0174,0.0962,0.0487,0.093,0.0783,0.0336,0.1137,0.0248
2012,0.0225,0.1412,0.0265,0.1431,0.0941,0.0358,0.0664,0.0331
2013,0.0382,0.1155,0.0085,0.1553,0.1085,0.0211,0.0507,0.0139
2014,0.0105,0.2481,0.0109,0.0998,0.044500000000000005,0.0429,0.115,0.0299
2015,0.0235,0.1594,0.0347,0.0865,0.0811,0.0206,0.1647,0.0117
2016,0.017,0.1902,0.0208,0.0803,0.0372,0.0296,0.2323,0.0165
2017,0.0213,0.2643,0.0248,0.041,0.0916,0.0579,0.114,0.0344
2018,0.0171,0.25,0.0241,0.0722,0.0726,0.028,0.0874,0.0274
2019,0.0082,0.1879,0.0113,0.0617,0.1276,0.0926,0.1641,0.0362
2020,0.0001,0.1443,0.0068,0.042,0.16799999999999998,0.0322,0.1999,0.02
2021,0.0125,0.0938,0.0137,0.0349,0.0468,0.1314,0.1834,0.0497
2022,0.0099,0.1433,0.0193,0.0931,0.07869999999999999,0.0446,0.2445,0.0174
2023,0.0152,0.0577,0.0076,0.0316,0.19490000000000002,0.0104,0.2862,0.0399
2024,0.0116,0.1938,0.0458,0.0388,0.07730000000000001,0.0248,0.0842,0.0458
2025,0.024,0.2817,0.0457,0.0078,0.1152,0.0217,0.0499,0.0154
2026,0.0031,0.122,0.037,0.0116,0.1018,0.039,0.1835,0.0246
